Title,Classification,Company,Location,Posting,Salary,Description,Salary_Low,Salary_High,Unit,Currency
Senior GA Officer,(Sumber Daya Manusia & Perekrutan),OttoDigital Group,Jakarta Selatan,22 hari yang lalu,,"The general affairs officer is responsible for petty cash, asset, facility & building management and ensuring office operations run well every day",,,,
Quality Assurance Staff - Customer Experience,"(Manufaktur, Transportasi & Logistik)",PT Penguin Indonesia,Jakarta Utara,27 hari yang lalu,,-,,,,
Head of Branch Sales Bandar Lampung TRI,(Ritel & Produk Konsumen),Indosat Ooredoo,Bandar Lampung,18 hari yang lalu,,Area Sales of Bandar Lampung brand TRI,,,,
PERSONAL ASSISTANT CEO,(Administrasi & Dukungan Perkantoran),,Jakarta Selatan,26 hari yang lalu,Rp 10.000.000 – Rp 15.000.000 per month,PERSONAL ASSISTANT CEO,10000000.0,15000000.0,month,IDR
(Substitute) School Records and Data Staff - BINUS SCHOOL Serpong,(Administrasi & Dukungan Perkantoran),Yayasan Bina Nusantara,Tangerang Selatan,26 hari yang lalu,,"Manage and digitize student data, ensure record accuracy, handle withdrawals, and input class lists, teacher info, and venues into the system",,,,
Warehouse E-commerce Supervisor,"(Manufaktur, Transportasi & Logistik)",PT Miniso Lifestyle Trading Indonesia (Miniso Indonesia),Karawang Timur,29 hari yang lalu,,Warehouse E-commerce Supervisor,,,,
Regional Sales Manager,(Ritel & Produk Konsumen),ASIA PULP AND PAPER,Jakarta Raya,20 hari yang lalu,,Job Responsibilities: Develop sales strategies to achieve company's target and maximize distribution of product lines through complex distribution...,,,,
Digital Performance Specialist,"(Periklanan, Seni & Media)",PT Eka Bogainti,Ciracas,21 hari yang lalu,,Develop and optimize digital marketing strategies for HokBen,,,,
Customer Service - International Logistics (Jakarta Utara),"(Manufaktur, Transportasi & Logistik)",PT. Meratus Line & Group,Jakarta Pusat,14 hari yang lalu,,We are looking for Customer Service Officer for our International Logistics for Jakarta Branch.,,,,
UI/UX Designer,(Desain & Arsitektur),PT Solusi Prima Packaging,Tangerang Selatan,27 hari yang lalu,,"Join us as a UI/UX Designer to craft engaging, user-friendly designs and bring digital ideas to life!",,,,
"Personnel Officer (Batam, Indonesia Stationed)",(Sumber Daya Manusia & Perekrutan),Simatelex Manufactory Co Ltd,Batam,22 hari yang lalu,,Test verification and validation. Establish and maintain quality records and perform the process & supplier audit.,,,,
QA/QC Staff,"(Manufaktur, Transportasi & Logistik)",PT Tempindo Jasatama (Divisi Jakarta Temp),Pulo Gadung,20 hari yang lalu,Rp 5.000.000 – Rp 6.000.000 per month,To be on production site for all shifts where there is production & QC activities and To 100% review & approve online documentation,5000000.0,6000000.0,month,IDR
Sparepart Controller Supervisor,"(Manufaktur, Transportasi & Logistik)",Agung Logistics,Cibitung,6 hari yang lalu,,"Leading team for maintaining spareparts for fleets (Carcarrier, Wingbox, Dump Truck)",,,,
General Affairs Manager,(CEO & Manajemen Umum),,Jakarta Selatan,27 hari yang lalu,Rp 18.000.000 – Rp 25.000.000 per month,"Oversee daily operations, facilities, vendor relations, asset management, events, expatriate support, and workplace projects.",18000000.0,25000000.0,month,IDR
Sea Import Officer,"(Manufaktur, Transportasi & Logistik)",PT Berdiri Matahari Logistik,Jakarta Selatan,29 hari yang lalu,,Process Import Shipment,,,,
Sales Representatif (Aceh),(Penjualan),PT. FUMAKILLA NOMOS (Perusahaan Industri Jepang),Aceh,25 hari yang lalu,,Sales Representatif Aceh,,,,
Refinery Operator,"(Manufaktur, Transportasi & Logistik)","PT SMART,Tbk",Bekasi,21 hari yang lalu,,Hiring Operator to conduct daily activities of refinery process,,,,
Customer Service Executive,(Call Center & Layanan Konsumen),PT Asih Eka Abadi,Jakarta Raya,19 hari yang lalu,,"Responsibility: To handle daily operations activities such as receiving incoming calls, arrangement of medical...",,,,
Data Scientist,(Sains & Teknologi),ASIA PULP AND PAPER,Tangerang Selatan,18 hari yang lalu,,We're currently looking for experienced Data Scientist for our company.,,,,
Brand Marketing Intern,(Pemasaran & Komunikasi),Danone Indonesia,Jakarta Raya,19 hari yang lalu,,Danone is currently looking for a Brand Marketing Intern to support the Bebelac brand team in executing and monitoring activations for 2025.,,,,
Production Planning and Inventory Control - Officer,"(Manufaktur, Transportasi & Logistik)",,Karawang,19 hari yang lalu,,"Plans, controls, and monitors production and materials to ensure efficient and timely manufacturing processes",,,,
Multimedia Officer,(Administrasi & Dukungan Perkantoran),Jakarta Intercultural School,Jakarta Selatan,28 hari yang lalu,,"responsible for the efficient operation, organization and needs of AV or video recording needs.",,,,
Officer Commercial Surabaya,(Penjualan),PT Cipta Krida Bahari,Surabaya,22 hari yang lalu,,Gain valuable commercial legal experience and advance your career at a leading maritime services provider.,,,,
"Content Moderator Supporting Team (SPV, TL, QA, Trainer, RTFM, WFM, Admin)",(Call Center & Layanan Konsumen),PT Transcosmos Indonesia,DI Yogyakarta,27 hari yang lalu,,"Content moderator , QA, Trainer, Team leader, supervisor, RTFM, WFM, Admin reporting",,,,
Procurement Officer,(Perbankan & Layanan Finansial),"PT Bank JTrust Indonesia, Tbk",Jakarta Pusat,21 hari yang lalu,,Creates and manages the implementation of programs to assess and promote supplier performance and development.,,,,
TAX STAFF,(Akuntansi),PT Meindo Elang Indah,Jakarta Pusat,14 hari yang lalu,,"- Prepare tax payments.
- Estimate and track tax returns.
- Prepare necessary paperwork for tax payments and returns.",,,,
Quality Supply Chain Section Head,"(Manufaktur, Transportasi & Logistik)","PT SMART,Tbk",Jakarta Pusat,19 hari yang lalu,,"Requirement: Candidate must possess at least a Bachelor's Degree, Engineering (Industrial) , Food Technology, Chemical or equivalent. At least 2...",,,,
MANDARIN SPEAKER (FINANCE),(Akuntansi),BUT. CHINA SOUTHERN AIRLINES,Jakarta Barat,15 hari yang lalu,Rp 7.000.000 – Rp 10.000.000 per month,"We're looking for a dynamic Administrative and Finance Assistant to become a vital part of our growing team, Take the next step in your career!",7000000.0,10000000.0,month,IDR
Content Creator & Video Editor,"(Periklanan, Seni & Media)",PT LIBERO LIFESTYLE INDONESIA,Jakarta Utara,27 hari yang lalu,Rp 5.000.000 – Rp 7.000.000 per month,Got ideas? Let’s turn them into viral content together! Your creativity belongs here — we're hiring a Content Creator!,5000000.0,7000000.0,month,IDR
Project Management Officer (PMO),(Teknik),PT Matahari Department Store Tbk,Karawaci,13 hari yang lalu,,"If you're passionate about driving business performance through numbers and analysis, join our team and grow with us!",,,,
Admin SAP,(Kesehatan & Medis),"PT Darya Varia Laboratoria, Tbk",Gunung Putri,21 hari yang lalu,,"Deploying, maintaining, and troubleshooting SAP systems to ensure optimal performance and availability. Handle system administration, installations.",,,,
Area Sales Manager (Sumatera Selatan),(Ritel & Produk Konsumen),PT. FUMAKILLA NOMOS (Perusahaan Industri Jepang),Sumatera Selatan,27 hari yang lalu,,Area Sales Manager Sumatera Selatan,,,,
Staff Franchise,(Pemasaran & Komunikasi),PT. Zhisheng Pacific Trading,Jakarta Utara,6 hari yang lalu,,Coordinate or delegate any work given by superiors to the related team.,,,,
QAC CONTROLLER,"(Manufaktur, Transportasi & Logistik)",PT LKD Multi Industri,Batam,25 hari yang lalu,Rp 6.000.000 – Rp 7.000.000 per month,-NA,6000000.0,7000000.0,month,IDR
PPIC Spv,"(Manufaktur, Transportasi & Logistik)",PT Sumber Boga Indonesia,Jakarta Utara,17 hari yang lalu,Rp 6.000.000 – Rp 9.000.000 per month,We are seeking a dedicated and experienced PPIC Specialist to join our dynamic team.,6000000.0,9000000.0,month,IDR
administration and customer services,(Administrasi & Dukungan Perkantoran),Fun Day Nusa Dua,Bali,5 hari yang lalu,Rp 4.500.000 – Rp 6.700.000 per month,we believe that a great administrative team is the backbone of any successful business,4500000.0,6700000.0,month,IDR
International Live Chat for Fresh Graduates (English),(Call Center & Layanan Konsumen),Teleperformance,Yogyakarta,19 hari yang lalu,,"customer service, cs, live chat, customer expert, customer relation, customer oriented, fresh graduates, jogja, yogyakarta, vancancy, loker jogja, csr",,,,
PPIC Staff,"(Manufaktur, Transportasi & Logistik)",PT Arianto Darmawan,Bandung,26 hari yang lalu,,"Responsible for managing administrative tasks related to SAP, procurement, and project support to ensure smooth office operations.",,,,
FINANCE STAFF (AP),(Akuntansi),PT Meindo Elang Indah,Jakarta Raya,14 hari yang lalu,,D3 or S1 major in Accounting / Finance. Minimum 5 years experiences in same position. Experiences in Account Payable (AP) field is a must.,,,,
Sales Supervisor Frozen (Sumatera & Kalimantan Barat Area),(Ritel & Produk Konsumen),WINGS Group,Padang,21 hari yang lalu,,Sales Supervisor Frozen is responsible for overseeing the sales operations team of frozen food products within a specific region or market.,,,,
Chatime Staff,(Ritel & Produk Konsumen),Kawan Lama Group,Kalideres,30+ hari yang lalu,,"""HiredToday.com and the Company will not ask for any form of payment during the recruitment process. Please report to us immediately, if you are...",,,,
Production & Warehouse Staff,"(Manufaktur, Transportasi & Logistik)",PT. Hertz Flavors Makmur Indonesia,Jawa Timur,27 hari yang lalu,,Involves a variety of tasks that focus on the management and movement of goods.,,,,
R&D Supervisor (Paint & Coating),(Teknik),PT. Asia Chemical Industry,Cikande,29 hari yang lalu,Rp 7.000.000 – Rp 10.000.000 per month,"Paint & Coating, Polimer, and Painto Formulas",7000000.0,10000000.0,month,IDR
English CS (handling live chats) for Fresh Graduate - Yogyakarta,(Call Center & Layanan Konsumen),Teleperformance,Sleman,30+ hari yang lalu,,"customer service, cs, fresh graduate, Yogyakarta, English, customer support, customer relation, shifting, customer, live chat, jobseeker, job ads",,,,
Store Supervisor (JABODETABEK),(Ritel & Produk Konsumen),PT Navya Retail Indonesia,Jakarta Raya,19 hari yang lalu,,"Roles &amp; Responsibilities: Ensuring sales assistant team and cashier to follow SOP Managing staff shift schedule, developing staff skills, and...",,,,
Customs Administrator,"(Manufaktur, Transportasi & Logistik)",PT SCG Barito Logistics,Jakarta Barat,28 hari yang lalu,,Crucial customs role in leading logistics firm. Apply and join us!,,,,
Quality Control Specialist (Fintech),"(Manufaktur, Transportasi & Logistik)",PT. Indonesia Fintopia Technology,Jakarta Selatan,27 hari yang lalu,Rp 5.400.000 – Rp 7.500.000 per month,Coaching and monitoring departments (Collection/CS/Telemarketing),5400000.0,7500000.0,month,IDR
Credit Reviewer,(Perbankan & Layanan Finansial),"PT Bank Oke Indonesia, tbk",Jakarta Pusat,27 hari yang lalu,,"Review credit proposals to ensure the feasibility of project/business financing needs, financial capabilities, and overall risk related to loans",,,,
Planning & Procurement Officer (MRP),"(Manufaktur, Transportasi & Logistik)",PT Adyabina Putramas,Jakarta Barat,28 hari yang lalu,,"Since its founding, ADP has a presence in multiple countries across SEA. As our company grows we need professionals to fulfill our vacant positions.",,,,
Printing Supervisor (Shift Team Leader),"(Manufaktur, Transportasi & Logistik)",PT Amcor Specialty Cartons Indonesia,Kabupaten Pasuruan,28 hari yang lalu,,"Lead a high-performing printing team at Indonesia's premier provider of quality printing services. Competitive salary, benefits, and career growth.",,,,
Water Management Research Officer,(Sains & Teknologi),"PT SMART,Tbk",Riau,20 hari yang lalu,,"Studying, monitoring and evaluating the irrigation/fertigation activity and its impact on oil palm either in nursery or in mature stage",,,,
Receptionist,(Administrasi & Dukungan Perkantoran),Mazars Indonesia,Jakarta Selatan,20 hari yang lalu,,"Forvis Mazars in Indonesia is a leading audit, tax, and advisory firm.",,,,
Admin Sales,(Administrasi & Dukungan Perkantoran),PT China Harbour Jakarta Real Estate Development,Jakarta Raya,20 hari yang lalu,,"We offer a collaborative work environment, opportunities to grow, and the chance to work closely with cross-functional teams in a fast-paced industry.",,,,
Chemist,(Sains & Teknologi),PT Nylex Indonesia,Gresik,14 hari yang lalu,,"We are a foreign investment company that manufactures PVC synthetic leather.Our plant is situated in Wringinanom - Gresik, East Java.Due to our...",,,,
Engineer,(Teknik),,Karawang,28 hari yang lalu,,Close communication with other department in order of new development model and preparation for mass production,,,,
Lowongan Kerja Procurement Staff - Serang,"(Manufaktur, Transportasi & Logistik)",Kawan Lama Group,Serang,30+ hari yang lalu,,Info Terbaru Lowongan Kerja Procurement Staff Serang Serang Agustus 2025 di Kawan Lama Group. Salam Sukses untuk sahabat yang sedang berburu...,,,,
Talent Acquisition Specialist - Transsion Indonesia,(Sumber Daya Manusia & Perekrutan),PT Transisi Mobile Indonesia,Jakarta Barat,28 hari yang lalu,,Helping to recruit top talent,,,,
Admin Executive - Samarinda,(Administrasi & Dukungan Perkantoran),Sunway Trek Masindo,Samarinda,27 hari yang lalu,Rp 3.000.000 – Rp 3.800.000 per year,"Organized, detail-oriented, good at communication and coordination, proficient in MS Office, and preferably has prior admin experience.",3000000.0,3800000.0,year,IDR
Legal Associate,(Hukum),,Tangerang,13 hari yang lalu,Rp 13.000.000 – Rp 15.000.000 per month,Provide dynamic legal support for a leading Indonesian provider. Excellent benefits and flexible work options.,13000000.0,15000000.0,month,IDR
Retail Offline & Online Sales Admin,(Ritel & Produk Konsumen),PT HIJAU ADIL BAHAGIA (BURGREENS),Kebayoran Lama,27 hari yang lalu,,We are looking for a detail-oriented and proactive Retail Offline & Online Sales Admin to join our team.,,,,
Area Sales Manager (Sulawesi Selatan),(Ritel & Produk Konsumen),PT. FUMAKILLA NOMOS (Perusahaan Industri Jepang),Sulawesi Selatan,27 hari yang lalu,,Area Sales Manager Sulawesi Selatan,,,,
Operation Administration Staff – Menara Jakarta,(Administrasi & Dukungan Perkantoran),ASRI (a subsidiary of Agung Sedayu Group),Jakarta Raya,30+ hari yang lalu,,"Min. 2 years working experience as Administration Staff
Excellent communication and good interpersonal skills
High attention to detail and...",,,,
Sales Supervisor Modern Trade (Branch Cimahi),(Ritel & Produk Konsumen),PT Sukanda Djaya,Bandung,19 hari yang lalu,,Responsible for achieving sales target in modern trade area,,,,
Promotion Supervisor,(Pemasaran & Komunikasi),"PT Agung Podomoro Land, Tbk (Agung Podomoro Group)",Jakarta Selatan,15 hari yang lalu,Rp 8.000.000 – Rp 10.000.000 per month,"Be part of our INFINITE Team as a Promotion Supervisor, not just running events but crafting iconic experiences that connect people to Senayan City.",8000000.0,10000000.0,month,IDR
HSE Officer (Open for Fresh Graduate) - Automotive - Jakarta (B-122125),(Penjualan),RGF HR Agent Indonesia,Jakarta Raya,19 hari yang lalu,Rp 6.500.000 – Rp 7.000.000 per month,HSE Officer (Open for Fresh Graduate) for Automotive company in Jakarta.,6500000.0,7000000.0,month,IDR
Vehicle Logistic Yard Specialist (Staff Level),"(Manufaktur, Transportasi & Logistik)",PT GLOVIS INDONESIA INTERNATIONAL,Cikarang Pusat,27 hari yang lalu,,"Manage VPC yard in dynamic environment, optimize operations and enhance productivity. Competitive salary and growth opportunities.",,,,
"Coffee Agronomist, Panjang","(Pertanian, Hewan & Konservasi)",PT Nestle Indonesia,Bandar Lampung,30+ hari yang lalu,,"Joining Nestlé means you are joining the largest food and Beverage Company in the world. At our very core, we are a human environment – passionate...",,,,
QUALITY ENGINEER,"(Manufaktur, Transportasi & Logistik)",PT Simatelex Manufactory Batam,Batam,28 hari yang lalu,,Have 1-2 years of experience in Quality Engineering of mechanical/electrical field.,,,,
Government Relations Manager,(Hukum),PT Dinamika Sejahtera Mandiri,Pontianak Barat,27 hari yang lalu,,"Lead government relations for a respected Kalimantan Barat firm. Competitive salary, great benefits, and career growth opportunities.",,,,
IT System Integration and Development Staff,(Teknologi Informasi & Komunikasi),PT Berlian Manyar Sejahtera,Gresik,26 hari yang lalu,,"Grow your IT integration skills with competitive salary, dynamic environment, and career development.",,,,
Front End Developer (Laravel & React JS),(Teknologi Informasi & Komunikasi),PT Lawencon Internasional,Jakarta Selatan,21 hari yang lalu,,Develop and maintain web applications and user interfaces using PHP Laravel framework and React,,,,
Litigation and Anti-Fraud,(Hukum),PT. Kredit Utama Fintech Indonesia,Jakarta Pusat,25 hari yang lalu,,"Litigation, Anti-Fraud",,,,
Assembly Production Line Staff - Manufacture - Cikarang (B-121750),"(Manufaktur, Transportasi & Logistik)",RGF HR Agent Indonesia,Cikarang Selatan,28 hari yang lalu,Rp 6.000.000 – Rp 9.000.000 per month,Assembly Production Line Staff for Manufacture Company in Cikarang.,6000000.0,9000000.0,month,IDR
Procurement Buyer,"(Manufaktur, Transportasi & Logistik)",PT Waagner Biro Indonesia,Jakarta Selatan,27 hari yang lalu,,"Identifying and procuring the goods and services that the Company requires to support the Projects, Operational, and Office requirement.Objective :...",,,,
Area Sales Manager (Sumatera Barat - Tengah),(Penjualan),PT. FUMAKILLA NOMOS (Perusahaan Industri Jepang),Sumatera Barat,27 hari yang lalu,,Area Sales Manager Coverage area Sumatera Barat - Tengah,,,,
logistic & operation analyst,"(Manufaktur, Transportasi & Logistik)",PT ANUGERAH KIMIA INDONESIA,Jakarta Raya,19 hari yang lalu,,"The position will  delivering accurate sales reports, forecasts and operational insights, HSE compliance, vendor assement and review",,,,
Purchasing Supervisor,"(Manufaktur, Transportasi & Logistik)",SKINTIFIC,Jakarta Raya,28 hari yang lalu,,"Provides purchasing planning and control information by collecting, analyzing, and summarizing data and trends.",,,,
Tax Admin,(Akuntansi),PT Lemonilo Indonesia Sehat,Jakarta Raya,21 hari yang lalu,,"You’ll be responsible for: Transcribe and proofread documents, Filling incoming and outgoing documents, and Able to draft and prepare invoice.",,,,
Quality Assurance - PT Weiss Tech,"(Manufaktur, Transportasi & Logistik)",,Sidoarjo,29 hari yang lalu,,This role will set ensure every spare part and machine meets the specified technical requirements and quality standards.,,,,
Internal Control Officer - Sumatera Selatan,(Akuntansi),PT Bina Artha Ventura,Sumatera Selatan,22 hari yang lalu,,Responsible : Ensure the implementation of Bina Artha Ventura policy and procedures (SOP) in all branches through visiting and controlling the...,,,,
Legal Consultant,(Hukum),PT Dmg Investment Services,Jakarta Selatan,25 hari yang lalu,Rp 8.000.000 – Rp 10.000.000 per month,Double M is more than just a consultant but a trusted partner for companies that want to expand their business in Indonesia and Southeast Asia....,8000000.0,10000000.0,month,IDR
HRBP - HR People Management (Yogyakarta),(Sumber Daya Manusia & Perekrutan),Shopee Internasional Indonesia,Yogyakarta,18 hari yang lalu,,-,,,,
Water Management Officer,(Teknik),PT Ching Luh Indonesia,Cikupa,12 hari yang lalu,Rp 6.200.000 – Rp 7.000.000 per month,Oversee water utilization and wastewater treatment in line with SOPs to meet environmental standards,6200000.0,7000000.0,month,IDR
Lead of Warehouse Gresik,"(Manufaktur, Transportasi & Logistik)",PT Cipta Krida Bahari,Gresik,19 hari yang lalu,,"Supervise warehouse ops, ensure compliance, prep reports, drive improvement, and coordinate teams to maintain smooth, efficient operations.",,,,
IT Business Analyst (Business Process Improvement) - Jakarta,(Teknologi Informasi & Komunikasi),PT Dipo Star Finance,Jakarta Pusat,20 hari yang lalu,Rp 5.500.000 – Rp 6.500.000 per month,"To analyze, review, and support for any requests or incidents coming from the users To conduct close research for new technology and deployed it...",5500000.0,6500000.0,month,IDR
Lowongan Kerja sebagai HRBP Intern di Danone Indonesia,(Sumber Daya Manusia & Perekrutan),Danone Indonesia,Kebayoran Lama,13 hari yang lalu,,"Lowongan Pekerjaan HRBP Intern
Saat ini Danone Indonesia sedang mencari kandidat personel yang memiliki motivasi yang tinggi untuk berkembang dan...",,,,
Content Moderator E-Commerce - Surakarta,(Call Center & Layanan Konsumen),Teleperformance,Surakarta,24 hari yang lalu,,Content Moderator E-Commerce responsible for ensuring our marketplace is safe and trustworthy for not only our users but also sellers and creators.,,,,
Lowongan Kerja Operator Boiler,"(Manufaktur, Transportasi & Logistik)","PT SMART,Tbk",Medan,30+ hari yang lalu,,Info Terbaru Lowongan Kerja Operator Boiler Medan Agustus 2025 di SMART Agribusiness and Food. Salam Sukses buat agan yang sedang membutuhkan...,,,,
Admin Sales Website (Shopify),(Administrasi & Dukungan Perkantoran),PT ANUGERAH SEEK INDONESIA SUKSES,Tangerang,27 hari yang lalu,,-,,,,
BOD SECRETARY,(Administrasi & Dukungan Perkantoran),PT Pahala Bahari Nusantara,Jakarta Barat,18 hari yang lalu,,We Are Looking for BOD Secretary Position,,,,
Agronomy Assistant (Kalimantan Selatan),"(Pertanian, Hewan & Konservasi)","PT SMART,Tbk",Kalimantan Selatan,20 hari yang lalu,,Arrange budget and coordinate with related parties to ensure daily work plan is going according to target set,,,,
HR & GA Head,(Sumber Daya Manusia & Perekrutan),PT KDB Tifa Finance Tbk,Jakarta Selatan,27 hari yang lalu,,PT KDB Tifa Finance is looking for a highly experienced  str&ategic HR & GA Head to lead and manage our HR and GA functions.,,,,
Admin Centro,(Perbankan & Layanan Finansial),"PT. BFI FINANCE INDONESIA, Tbk",Semarang,30+ hari yang lalu,,"""HiredToday.com and the Company will not ask for any form of payment during the recruitment process. Please report to us immediately, if you are...",,,,
IT Staff Infrastructure & Systems Administration - Manufacture- Cakung(B-121738),(Teknologi Informasi & Komunikasi),RGF HR Agent Indonesia,Cakung,29 hari yang lalu,Rp 6.000.000 – Rp 8.000.000 per month,IT Staff Infrastructure & System Administration for Manufacture Company in Cakung.,6000000.0,8000000.0,month,IDR
Procurement Raw Material Staff - Manufacture Chemical - Karawang (C-121743),"(Manufaktur, Transportasi & Logistik)",RGF HR Agent Indonesia,Karawang,28 hari yang lalu,Rp 6.500.000 – Rp 8.500.000 per month,Procurement Raw Material Staff for Manufacture Chemical Company in karawang,6500000.0,8500000.0,month,IDR
ESG Data Analyst,(Konsultasi & Strategi),"PT SMART,Tbk",Jakarta Raya,28 hari yang lalu,,"Coordinate and prepare key sustainability disclosures for company and its subsidiaries, 
including the Sustainability Report, Annual Report ...",,,,
Agronomy Assistant (Lampung),"(Pertanian, Hewan & Konservasi)","PT SMART,Tbk",Lampung,19 hari yang lalu,,Arrange budget and coordinate with related parties to ensure daily work plan is going according to target set,,,,
Digital Marketing Executive (SEO Specialist),(Pemasaran & Komunikasi),PT Kalbe Farma Tbk,Jakarta Raya,10 hari yang lalu,,Our Digital Marketing Executive will manage our digital presence and drive engagement across platforms.,,,,
Founding Brand Photographer/Videographer,"(Periklanan, Seni & Media)",PT MOOZ TECH SOLUTIONS BALI,Denpasar,17 hari yang lalu,Rp 74.000.000 – Rp 110.000.000 per year,Founding Brand Photographer to join our early team and shape the visual identity of F&B clients.,74000000.0,110000000.0,year,IDR
Buyer Manager (F&B),(Hospitaliti & Pariwisata),PT Miniso Lifestyle Trading Indonesia (Miniso Indonesia),Jakarta Pusat,27 hari yang lalu,Rp 13.000.000 – Rp 18.000.000 per month,Organize a team to develop for searching and purchase the food (especially for dry food & snacks) & beverages (F&B),13000000.0,18000000.0,month,IDR
"Finance, Accounting & Tax Supervisor",(Akuntansi),PT Topsco Steel Utama,Cilegon,27 hari yang lalu,,"Prepare and maintain accurate financial records, including general ledger entries, reconciliations, and financial statements.",,,,
Senior Legal Associate,(Hukum),PT. River Hope Consulting Indonesia,Jakarta Raya,11 hari yang lalu,Rp 18.000.000 – Rp 22.000.000 per month,"Monthly Salary range: IDR 18,000,000-IDR 22,000,000/month (excluding pph 21 and BPJS);",18000000.0,22000000.0,month,IDR
Tax Manager - Mining Sector,(Akuntansi),PT Zhongtsing New Energy,Jakarta Raya,29 hari yang lalu,Rp 30.000.000 – Rp 45.000.000 per month,Tax Manager,30000000.0,45000000.0,month,IDR
PPIC  – Essential Oil Plant,"(Manufaktur, Transportasi & Logistik)",PT Lam Seng Hang Indonesia,Cikarang,6 hari yang lalu,,We are PMA company with head quarter in singapore looking for energetic and motivated individuals to joint with our Essential Oil production team,,,,
Mechanical Technician,(Teknik),PT Delta Djakarta Tbk,Bekasi,5 hari yang lalu,,To implement the planned mechanical maintenance system for any packaging equipment with the aid of computerized preventive maintenance system.,,,,
QHSE Officer,"(Pertambangan, Sumber Daya Alam & Energi)",PT Sinarmas LDA Maritime,Banjarmasin,14 hari yang lalu,,"Responsible for implement and maintain Quality, Health, Safety, and Environmental (QHSE) standards both onboard vessels and at shore-based operations.",,,,
Site Supervisor,(Konstruksi),PT Indonakano,Malang,22 hari yang lalu,Rp 7.500.000 – Rp 8.300.000 per month,The Safety Officer is responsible for safety program at the project site in accordance with company and regulatory standards.,7500000.0,8300000.0,month,IDR
Field Service Engineer - Balikpapan,(Teknik),PT KSB Indonesia,Kalimantan Timur,21 hari yang lalu,,The Field Service Engineer will be responsible for providing on-site technical support and services for KSB products or equipment.,,,,
IT Support,(Teknologi Informasi & Komunikasi),PT Suzuki Indomobil Motor,Bekasi,27 hari yang lalu,,"Controlling and maintaining all IT hardware, supporting networking infrastructures, analyzing issues related to hardware, software, and infrastructure",,,,
Corporate Planning Assistant Manager,(Konsultasi & Strategi),PT Asuransi MSIG Indonesia,Jakarta Selatan,28 hari yang lalu,,Corporate Strategy Planning assistant manager in General Insurance,,,,
PPIC Supervisor,"(Manufaktur, Transportasi & Logistik)",Wilmar Group,Asahan,29 hari yang lalu,,"PPIC Supervisor is responsible for overseeing the production planning, scheduling, and inventory control processes within  the palm oil refinery.",,,,
R&D Staff,(Sains & Teknologi),Pt. Yili indonesia dairy,Cikarang Pusat,28 hari yang lalu,,Be one of the employees in the largest dairy industry in Asia.,,,,
Graphic Designer,(Desain & Arsitektur),PT Fajar Gelora Inti,Jakarta Pusat,26 hari yang lalu,Rp 5.000.000 – Rp 7.000.000 per month,A graphic designer is a professional who creates visual concepts to communicate ideas and information.,5000000.0,7000000.0,month,IDR
Sensory Coordinator,(Sains & Teknologi),PT Barry Callebaut Indonesia,Gresik,26 hari yang lalu,,"Sensory & Customer Care Coordinator ensures sensory compliance, supports QA, and handles customer feedback & complaints.",,,,
Legal Officer,(Hukum),PT ALAMINDO LESTARI SEJAHTERA Tbk,Jakarta Timur,4 hari yang lalu,Rp 8.000.000 – Rp 11.000.000 per month,"Join a dynamic, innovative Hukum firm. Excellent career development, benefits and work-life balance. Apply now!",8000000.0,11000000.0,month,IDR
Procurement Officer (Lubuk Gaung),"(Manufaktur, Transportasi & Logistik)","PT SMART,Tbk",Dumai,28 hari yang lalu,,Support end to end procurement process,,,,
NETWORK OPERATION CENTER (NOC),(Teknologi Informasi & Komunikasi),PT CAHAYA SOLUSINDO INTERNUSA,Surabaya,21 hari yang lalu,Rp 4.000.000 – Rp 5.000.000 per month,"Requirement: • Candidate must possess at least a Bachelor's degree, IT/Computer Science/Electronic/Telecommunication •...",4000000.0,5000000.0,month,IDR
HR Admin,(Sumber Daya Manusia & Perekrutan),PT Acer Indonesia,Jakarta Pusat,11 hari yang lalu,,Maintaining HR adminsitrative.,,,,
Legal & Permit Compliance Manager,(Hukum),PT Gesit Alumas,Jakarta Pusat,28 hari yang lalu,,"Manage legal compliance, permits, contracts, and governance to support smooth and lawful mining operations.",,,,
Mechanic Leader,(Teknik),PT Lemonilo Indonesia Sehat,Cikande,21 hari yang lalu,,-,,,,
QC Section Head (Lubuk Gaung),"(Manufaktur, Transportasi & Logistik)","PT SMART,Tbk",Dumai,26 hari yang lalu,,"Assisting the manager in coordinating, managing and ensuring  all the Quality Control Section",,,,
Logistic Operation Staff (Civil) Bandung,"(Manufaktur, Transportasi & Logistik)",PT Parama Agung Karya,Bandung,26 hari yang lalu,,"as an individual who plans, purchases & delivers products or services for others & may work in any industry tht uses the services of a 3 party prvider",,,,
English Live Chat - Surakarta,(Call Center & Layanan Konsumen),Teleperformance,Surakarta,18 hari yang lalu,,We are seeking a customer-oriented service representative to provide information and resolve any emerging problems that our customers might face.,,,,
Lowongan Kerja QC Admin,(Administrasi & Dukungan Perkantoran),"PT SMART,Tbk",Medan,30+ hari yang lalu,,Info Terbaru Lowongan Kerja QC Admin Medan Agustus 2025 di SMART Agribusiness and Food. Salam Sukses bagi sahabat yang sedang mencari pekerjaan....,,,,
Security Management (Senior Specialist),(Teknologi Informasi & Komunikasi),PT Hyundai Motor Manufacturing Indonesia,Cikarang Pusat,27 hari yang lalu,,Develop and enforce physical security policies and procedures across all company sites.,,,,
